antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'/web/sample-page/autoridades', '/web/sample-page/marco-regulatorio', '/web/sample-page/delegaciones'})",frozenset({'/web/area-de-concesion'}),0.0037072520514849837,0.01037197484067147,0.003665597534052568,0.9887640449438202,95.33035512837868,1.0,0.0036271460090465378,88.07689423918002,0.9931921755391526,0.3519999999999999,0.9886462844922255,0.671088849781147
"frozenset({'/web/sample-page/delegaciones', '/web/sample-page/marco-regulatorio', '/web/area-de-concesion'})","frozenset({'/', '/web/sample-page/autoridades'})",0.0037072520514849837,0.010913483567292872,0.003665597534052568,0.9887640449438202,90.60022300368814,1.0,0.0036251384997088736,88.02869996251073,0.9926424754274072,0.33460076045627374,0.9886400685182688,0.66232095376962
"frozenset({'/web/sample-page/autoridades', '/web/sample-page/marco-regulatorio', '/web/sample-page/delegaciones'})","frozenset({'/', '/web/area-de-concesion'})",0.0037072520514849837,0.005498396301078852,0.003665597534052568,0.9887640449438202,179.82771535580525,1.0,0.0036452135930855156,88.51064272920377,0.9981394765448616,0.6616541353383457,0.9887019236425671,0.8277153558052435
"frozenset({'/web/area-de-concesion', '/web/sample-page/marco-regulatorio', '/web/sample-page/delegaciones'})",frozenset({'/web/sample-page/autoridades'}),0.0037072520514849837,0.013829299787561962,0.003665597534052568,0.9887640449438202,71.49776634628401,1.0,0.003614328834044528,87.76919231890678,0.9896825517487781,0.26426426426426425,0.9886064805476786,0.6269121429538378
"frozenset({'/', '/web/sample-page/autoridades', '/web/sample-page/marco-regulatorio', '/web/sample-page/delegaciones'})",frozenset({'/web/area-de-concesion'}),0.0037072520514849837,0.01037197484067147,0.003665597534052568,0.9887640449438202,95.33035512837868,1.0,0.0036271460090465378,88.07689423918002,0.9931921755391526,0.3519999999999999,0.9886462844922255,0.671088849781147
"frozenset({'/web/sample-page/autoridades', '/web/area-de-concesion', '/robots.txt'})",frozenset({'/'}),0.003498979464322906,0.22689215645436747,0.0034573249468904904,0.9880952380952381,4.354911397274166,1.0,0.002663433950840719,64.94105885783337,0.7730791913211514,0.01523494860499266,0.9846014213875206,0.5016664918216232
"frozenset({'/web/sample-page/autoridades', '/web/sample-page/delegaciones', '/robots.txt'})",frozenset({'/web/area-de-concesion'}),0.0034156704294580746,0.01037197484067147,0.003374015912025659,0.9878048780487805,95.23787834263885,1.0,0.0033385886642672944,81.14949806306487,0.992891365764929,0.324,0.987677064875708,0.6565530414340288
"frozenset({'/', '/web/sample-page/delegaciones', '/robots.txt'})",frozenset({'/web/area-de-concesion'}),0.0034156704294580746,0.01037197484067147,0.003374015912025659,0.9878048780487805,95.23787834263885,1.0,0.0033385886642672944,81.14949806306487,0.992891365764929,0.324,0.987677064875708,0.6565530414340288
"frozenset({'/', '/web/sample-page/autoridades', '/web/sample-page/delegaciones', '/robots.txt'})",frozenset({'/web/area-de-concesion'}),0.0034156704294580746,0.01037197484067147,0.003374015912025659,0.9878048780487805,95.23787834263885,1.0,0.0033385886642672944,81.14949806306487,0.992891365764929,0.324,0.987677064875708,0.6565530414340288
"frozenset({'/', '/robots.txt', '/web/sample-page/delegaciones'})","frozenset({'/web/sample-page/autoridades', '/web/area-de-concesion'})",0.0034156704294580746,0.004248760778106386,0.003374015912025659,0.9878048780487805,232.49246771879484,1.0,0.00335950354547404,81.6516016161952,0.9991114207206162,0.7864077669902914,0.9877528428076584,0.8909612625538019
"frozenset({'/web/sample-page/autoridades', '/web/sample-page/delegaciones', '/robots.txt'})","frozenset({'/', '/web/area-de-concesion'})",0.0034156704294580746,0.005498396301078852,0.003374015912025659,0.9878048780487805,179.65327050997783,1.0,0.0033552352023706227,81.54913150331146,0.9978420217500679,0.6090225563909775,0.9877374537096156,0.8007206208425721
"frozenset({'/web/sample-page/autoridades', '/web/sample-page/marco-regulatorio', '/robots.txt'})",frozenset({'/'}),0.003374015912025659,0.22689215645436747,0.0033323613945932438,0.9876543209876544,4.3529681079402645,1.0,0.0025668236484023927,62.621735327196525,0.772879398980189,0.014684287812041117,0.9840311036611324,0.5011706523241926
"frozenset({'/web/area-de-concesion', '/web/sample-page/delegaciones', '/robots.txt'})",frozenset({'/web/sample-page/marco-regulatorio'}),0.003374015912025659,0.008289248969050693,0.0033323613945932438,0.9876543209876544,119.14883057261618,1.0,0.0033043933366729244,80.32857083350726,0.994964160327677,0.4000000000000001,0.9875511291981947,0.6948321856194554
"frozenset({'/robots.txt', '/web/sample-page/marco-regulatorio', '/web/sample-page/delegaciones'})",frozenset({'/web/area-de-concesion'}),0.003374015912025659,0.01037197484067147,0.0033323613945932438,0.9876543209876544,95.22336258614706,1.0,0.0032973661864416884,80.15987003790597,0.9928482613056926,0.32,0.9875249298741737,0.6544697307749516
"frozenset({'/', '/web/area-de-concesion', '/web/sample-page/delegaciones', '/robots.txt'})",frozenset({'/web/sample-page/marco-regulatorio'}),0.003374015912025659,0.008289248969050693,0.0033323613945932438,0.9876543209876544,119.14883057261618,1.0,0.0033043933366729244,80.32857083350726,0.994964160327677,0.4000000000000001,0.9875511291981947,0.6948321856194554
"frozenset({'/web/sample-page/marco-regulatorio', '/web/sample-page/delegaciones', '/robots.txt'})",frozenset({'/web/sample-page/autoridades'}),0.003374015912025659,0.013829299787561962,0.0033323613945932438,0.9876543209876544,71.4175219396103,1.0,0.0032857011170578368,79.87982671720785,0.9893358689291984,0.24024024024024024,0.9874811946758445,0.6143090882046706
"frozenset({'/web/sample-page/marco-regulatorio', '/web/sample-page/delegaciones', '/robots.txt'})","frozenset({'/', '/web/sample-page/autoridades'})",0.003374015912025659,0.010913483567292872,0.0033323613945932438,0.9876543209876544,90.49853925171992,1.0,0.003295539127381567,80.11600783104964,0.9922981275599767,0.30418250950570347,0.9875180999768632,0.646498916219018
"frozenset({'/web/sample-page/marco-regulatorio', '/web/sample-page/delegaciones', '/robots.txt'})","frozenset({'/', '/web/area-de-concesion'})",0.003374015912025659,0.005498396301078852,0.0033323613945932438,0.9876543209876544,179.62588851477742,1.0,0.003313809717982781,80.55462989961298,0.9977994650171362,0.6015037593984963,0.9875860642492406,0.7968574635241302
"frozenset({'/web/sample-page/autoridades', '/web/sample-page/marco-regulatorio', '/robots.txt'})","frozenset({'/', '/web/sample-page/delegaciones'})",0.003374015912025659,0.0052901237139167745,0.0033323613945932438,0.9876543209876544,186.69777388937493,1.0,0.0033145124330059045,80.57149997917311,0.9980110549193347,0.625,0.9875886634820192,0.8087877904150871
"frozenset({'/web/sample-page/autoridades', '/web/sample-page/marco-regulatorio', '/robots.txt'})",frozenset({'/web/sample-page/delegaciones'}),0.003374015912025659,0.006331486649727163,0.0033323613945932438,0.9876543209876544,155.99090318388565,1.0,0.0033109988578902865,80.48714958137246,0.9969531054083425,0.5228758169934641,0.9875756564221596,0.7569850552306694
"frozenset({'/web/sample-page/autoridades', '/web/sample-page/marco-regulatorio', '/robots.txt'})","frozenset({'/', '/web/area-de-concesion'})",0.003374015912025659,0.005498396301078852,0.0033323613945932438,0.9876543209876544,179.62588851477742,1.0,0.003313809717982781,80.55462989961298,0.9977994650171362,0.6015037593984963,0.9875860642492406,0.7968574635241302
"frozenset({'/web/area-de-concesion', '/web/sample-page/delegaciones', '/robots.txt'})","frozenset({'/web/sample-page/autoridades', '/web/sample-page/marco-regulatorio'})",0.003374015912025659,0.004915233057025035,0.0033323613945932438,0.9876543209876544,200.937434609751,1.0,0.003315777320047527,80.60186612238134,0.9983919167432919,0.6722689075630254,0.9875933393591452,0.8328102113412847
"frozenset({'/web/sample-page/delegaciones', '/web/sample-page/autoridades', '/web/area-de-concesion', '/robots.txt'})",frozenset({'/web/sample-page/marco-regulatorio'}),0.003374015912025659,0.008289248969050693,0.0033323613945932438,0.9876543209876544,119.14883057261618,1.0,0.0033043933366729244,80.32857083350726,0.994964160327677,0.4000000000000001,0.9875511291981947,0.6948321856194554
"frozenset({'/web/sample-page/marco-regulatorio', '/web/sample-page/delegaciones', '/robots.txt'})",frozenset({'/'}),0.003374015912025659,0.22689215645436747,0.0033323613945932438,0.9876543209876544,4.3529681079402645,1.0,0.0025668236484023927,62.621735327196525,0.772879398980189,0.014684287812041117,0.9840311036611324,0.5011706523241926
"frozenset({'/web/sample-page/marco-regulatorio', '/web/sample-page/delegaciones', '/robots.txt'})","frozenset({'/web/sample-page/autoridades', '/web/area-de-concesion'})",0.003374015912025659,0.004248760778106386,0.0033323613945932438,0.9876543209876544,232.4570321955943,1.0,0.003318026008121522,80.65585037697375,0.9990690044303268,0.7766990291262137,0.9876016433361481,0.8859840232389252
"frozenset({'/web/sample-page/autoridades', '/web/sample-page/marco-regulatorio', '/robots.txt'})","frozenset({'/web/area-de-concesion', '/web/sample-page/delegaciones'})",0.003374015912025659,0.0038738701212146457,0.0033323613945932438,0.9876543209876544,254.9528740209744,1.0,0.003319290895163145,80.68621652018199,0.9994498662542841,0.8510638297872342,0.9876063094401029,0.9239346873755476
"frozenset({'/web/sample-page/delegaciones', '/web/sample-page/autoridades', '/web/area-de-concesion', '/robots.txt'})","frozenset({'/', '/web/sample-page/marco-regulatorio'})",0.003374015912025659,0.007164576998375474,0.0033323613945932438,0.9876543209876544,137.85242606948034,1.0,0.003308187997797792,80.41966926313195,0.9961067457995487,0.46242774566474,0.9875652311286184,0.7263853000287109
"frozenset({'/web/sample-page/autoridades', '/web/area-de-concesion', '/robots.txt', '/', '/web/sample-page/delegaciones'})",frozenset({'/web/sample-page/marco-regulatorio'}),0.003374015912025659,0.008289248969050693,0.0033323613945932438,0.9876543209876544,119.14883057261618,1.0,0.0033043933366729244,80.32857083350726,0.994964160327677,0.4000000000000001,0.9875511291981947,0.6948321856194554
"frozenset({'/web/sample-page/autoridades', '/web/sample-page/marco-regulatorio', '/robots.txt'})",frozenset({'/web/area-de-concesion'}),0.003374015912025659,0.01037197484067147,0.0033323613945932438,0.9876543209876544,95.22336258614706,1.0,0.0032973661864416884,80.15987003790597,0.9928482613056926,0.32,0.9875249298741737,0.6544697307749516
